cols[0],v,cols[2],d,価格,当日保守,翌日保守,センドバック,pop
CPU,0,4コア,TW 4604i  (i7-4820K・4.6GHz/4コア or 4.75GHz/2コア設定　※出荷時設定),345450,128870,84130,24490,"最速マシン 速度依存におすすめ<br/>向いているソリューション<br/>JSTAMP LS-DYNA(少ないライセンス数）
※動作条件は外気10℃以上～30℃未満で結露が無く、<br/>
電源 ： 95～110V／電流空容量10A以上、瞬停無き事<br/>"
CPU,1,6コア,TW 4406i  (i7-4930K・4.4GHz/6コア設定),445490,141290,92790,28100,6コア、高速マシンでは最大コア数
MEM,0,32GB,32GB,123790,4950,4950,4950,ほぼ３２GBで足ります。1コアあたり、８GB、５GB
MEM,1,64GB,64GB,218840,8770,8770,8770,最大メモリサイズ
MEM,2,16GB,16GB,68650,2750,2750,2750,最小メモリサイズ
GPU,0,QuadraK600,QuadroK600／1GB,77440,4650,4650,4650,"廉価版
※構成1～4は850W電源搭載　(消費電力約750W)<br/>構成5～9は750W電源搭載　(消費電力約500W)"
GPU,1,QuadroK6000,QuadroK6000/12GB,1199010,71950,71950,71950,最高スペック　あほみたいに高いぞ。
GPU,2,QuadraK5000,QuadroK5000/4GB,479890,28800,28800,28800,
GPU,3,TITAN,GTX-TITAN/6GB （GPU倍精度計算向け）,331840,19920,19920,19920,GPU計算向けだが、ふつうはFermiとか使うはず。倍精度の計算などソルバ対応していないので無駄
GPU,4,GTX780,GTX780/6GB （GPU単精度計算向け）,181840,10920,10920,10920,GPU計算を行う場合には、Teslaをおすすめ。GTXはGPUの廉価版であまりおすすめしない
GPU,5,QuadraK4000,QuadroK4000/3GB,272120,16340,16340,16340,CATIAの推奨 
GPU,6,QuadraK2000,QuadroK2000/2GB,148270,8900,8900,8900,
GPU,7,GT630,GT630／1GB （リアルタイムシェーディング非対応）,48690,2940,2940,2940,
GPU,8,GT210,GT210／1GB （5D向け）,42920,2590,2590,2590,
DISK,0,1T×2,1TB  (C：)／1TB  (D：),36880,2240,2240,2240,１Tをシステム用C: １Tをデータ用 D: バックアップしやすい（おすすめ）<br/>※RAID構成及びLinux-OS搭載時は別途お見積
DISK,1,SSD構成,SSD250GB  (C：)／2TB  (D：) ,79480,4790,4790,4790,ディスク高速モデル C:システム　D:データ<br/>※RAID構成及びLinux-OS搭載時は別途お見積
DISK,2,2T×2,2TB  (C：)／2TB  (D：),49380,2980,2980,2980,C:にシステムとデータ、D:にデータ
